Campaign,Budget,Budget type,Bid Strategy Type,Campaign Status,Ad Group,Ad Group Status,Keyword,Criterion Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL,Location
RC - Search - Port Pirie,,,,,Personal Loans,,,Responsive search ad,Port Pirie Direct Cash Line,Same-Day Agent Callbacks,Flexible Credit $2k - $10k,90-Day Digital Bank Check,ACL #525087 Licensed Provider,Direct regional agent credit line serving Port Pirie. Fast pre-qualification online.,"No upfront fees, flexible redraws, fast payout. Apply online in 2 minutes.",https://regionalcreditdirect.com.au,
RC - Search - Port Lincoln,20,Daily,Maximize Conversions,Enabled,,,,,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,,,,,,,,,,,Australia/SA/5606
RC - Search - Port Lincoln,,,,,,,,,,,,,,,,,Australia/SA/5607
RC - Search - Port Lincoln,,,,,,,-payday loans,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-centrelink loan,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-cash converters,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-pawn shop,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-no credit check,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-free money,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,,,-bankruptcy loan,Negative Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Line of Credit,Enabled,,,,,,,,,,,
RC - Search - Port Lincoln,,,,,Line of Credit,,line of credit port lincoln,Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Line of Credit,,line of credit port lincoln,Phrase,,,,,,,,,
RC - Search - Port Lincoln,,,,,Line of Credit,,revolving credit port lincoln,Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Line of Credit,,,Responsive search ad,Port Lincoln Revolving Credit,Pay $0 Monthly Account Fees,"$2,000 - $10,000 Cash Line",Flexible Online Line of Credit,Apply Online in 2 Minutes,Dedicated revolving line of credit for Port Lincoln. Only pay interest on what you draw.,"Fast online assessment, $0 establishment fee, licensed SA provider ACL 525087.",https://regionalcreditline.com.au,
RC - Search - Port Lincoln,,,,,Personal Loans,Enabled,,,,,,,,,,,
RC - Search - Port Lincoln,,,,,Personal Loans,,personal loan port lincoln,Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Personal Loans,,personal loan port lincoln,Phrase,,,,,,,,,
RC - Search - Port Lincoln,,,,,Personal Loans,,fast cash port lincoln,Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Personal Loans,,quick loan port lincoln,Exact,,,,,,,,,
RC - Search - Port Lincoln,,,,,Personal Loans,,,Responsive search ad,Port Lincoln Revolving Credit,Pay $0 Monthly Account Fees,"$2,000 - $10,000 Cash Line",Flexible Online Line of Credit,Apply Online in 2 Minutes,Dedicated revolving line of credit for Port Lincoln. Only pay interest on what you draw.,"Fast online assessment, $0 establishment fee, licensed SA provider ACL 525087.",https://regionalcreditline.com.au,
